date,China,South Korea,Iran,Russia,India,Other Asian countries,Italy,Germany,France,Spain,Belgium,Netherlands,United Kingdom,Switzerland,Turkey,Other European countries,US,Canada,Mexico,Other North-American countries,Brazil,Peru,Colombia,Chile,Other South-American countries,Africa,Australia & Oceania
2020-04-28,12.428571428571429,11.142857142857142,1111.7142857142858,5827.857142857143,1606.2857142857142,6672.428571428572,2506.8571428571427,1660.142857142857,1555,942.1428571428571,911.1428571428571,613.5714285714286,4617.428571428572,171.57142857142858,2723.1428571428573,4706.857142857143,29457.14285714286,1678.2857142857142,1035.857142857143,546.7142857142857,4308,1907.5714285714287,257.14285714285717,620.5714285714286,2225.285714285714,1431.142857142857,18.428571428571427
2020-04-29,10.857142857142858,10.142857142857142,1094.4285714285713,5914.285714285715,1670.2857142857142,6712.428571428572,2323.4285714285716,1555.857142857143,1509,646.8571428571429,852.8571428571429,566.5714285714286,4609.571428571428,162.71428571428572,2702.1428571428573,4639.857142857143,29373.714285714286,1600.2857142857142,1036.4285714285713,576.8571428571429,4846.857142857143,2097.285714285714,264.42857142857144,628.5714285714286,2232.714285714286,1515.7142857142858,17.857142857142858
2020-04-30,10.285714285714286,9.428571428571429,1087.7142857142858,6246.428571428572,1683.7142857142858,6815.142857142857,2212.8571428571427,1411.4285714285713,1285.142857142857,58.714285714285715,817.4285714285714,513,4580.428571428572,155.71428571428572,2630.5714285714284,4534.857142857143,28721.428571428572,1594,1084.4285714285713,558.1428571428571,5307.285714285715,2294.5714285714284,278,717.4285714285714,2197.4285714285716,1598.2857142857142,18.142857142857142
2020-05-01,8.571428571428571,8.857142857142858,1064.5714285714287,6544.142857142857,1818.142857142857,6860,2062,1296.857142857143,1050.4285714285713,1746.5714285714287,677,465.7142857142857,4544.571428571428,146.85714285714286,2497.1428571428573,4317.428571428572,28417.285714285714,1632,1123.857142857143,567.1428571428571,5451.285714285715,2687.285714285714,303.57142857142856,787.5714285714286,740.8571428571429,1606.5714285714287,17.857142857142858
2020-05-02,7.142857142857143,9.285714285714286,1017.1428571428571,7066.571428571428,1916.5714285714287,6942.428571428572,1996.7142857142858,1207.7142857142858,982,1525.2857142857142,598.8571428571429,435.7142857142857,4468.285714285715,131.85714285714286,2371.714285714286,4154.428571428572,27885,1650.7142857142858,1178,639.4285714285714,5396.571428571428,2457.5714285714284,306.14285714285717,953.7142857142857,925.7142857142857,1740.2857142857142,17.428571428571427
2020-05-03,7.428571428571429,9,991.8571428571429,7676.857142857143,2087.8571428571427,7051,1863.142857142857,1127.7142857142858,957.8571428571429,1404.5714285714287,538.8571428571429,389.85714285714283,4397.428571428572,120.57142857142857,2273.5714285714284,3961.285714285714,27584.714285714286,1781.5714285714287,1256.2857142857142,632.4285714285714,5532.285714285715,2630.1428571428573,327,1061.5714285714287,1230.2857142857142,1745.7142857142858,18
2020-05-04,6.857142857142857,7.428571428571429,1025,8303,2426.5714285714284,7206,1789.142857142857,1056.2857142857142,517.1428571428571,1220.857142857143,511.42857142857144,361.14285714285717,4208.714285714285,116.71428571428571,2199.714285714286,3948.4285714285716,27586.14285714286,1763,1339.4285714285713,648.2857142857143,5882,2667.5714285714284,339.42857142857144,1132.7142857142858,1494.5714285714287,1932,20
2020-05-05,4,6.428571428571429,1055.142857142857,8830.285714285714,2582.285714285714,7573.857142857143,1644,1013.5714285714286,233.42857142857142,1222.2857142857142,453.57142857142856,382,4060.4285714285716,106.42857142857143,2119.714285714286,3892,27536.14285714286,1723.5714285714287,1324.7142857142858,723.2857142857143,6031.428571428572,2857,380.57142857142856,1250,1364.7142857142858,1988.857142857143,20.714285714285715
2020-05-06,3.7142857142857144,6.428571428571429,1141.857142857143,9504.285714285714,2846.4285714285716,7665.571428571428,1552.2857142857142,946.1428571428571,1097.2857142857142,1058.2857142857142,417.42857142857144,360,3829.8571428571427,93.28571428571429,2022.142857142857,3842.4285714285716,27212.714285714286,1689.857142857143,1405,734.2857142857143,6703.714285714285,2983.714285714286,393.14285714285717,1323.142857142857,1316,2065.4285714285716,22.142857142857142
2020-05-07,2.7142857142857144,6.857142857142857,1213.5714285714287,10094.57142857143,3069.714285714286,7829,1485,917.2857142857143,1088.4285714285713,1144.5714285714287,414.42857142857144,351.57142857142856,3659.4285714285716,77.14285714285714,1931,3785.4285714285716,26963.14285714286,1677.7142857142858,1484.5714285714287,758.8571428571429,6940.857142857143,3078.5714285714284,421.2857142857143,1379.5714285714287,1073.857142857143,2131,22.571428571428573
